reef_name,region_lat,sector,start_year,event_year,target_year,end_year,nadir_year,final_year,gap_years,time_gap_years,sequence_type,sequence_type_primary,seq_category_main,seq_category,start_event_type,target_event_type,start_disturbance_type,target_disturbance_type,baseline_start_year,baseline_end_year,baseline_survey_n,baseline_hc,baseline_juv,baseline_algae,nadir_hc,nadir_juv,nadir_algae,final_hc,final_juv,final_algae,rel_loss,recovery_rate,recovery_pct,cots_lag_3yr,initial_cots,initial_herbivore,start_max_wind,start_max_dhw,target_max_wind,target_max_dhw,storm_exposure_seq,heat_exposure_seq,drop_abs,impact_flag,recovery_gain_abs,recovery_observed_flag,recovery_frac_loss,recovered_flag,fate_status,disturbance_group,baseline_hc_median,baseline_hc_group,baseline_hc_c
Chinaman_Reef_22_102,-22.01736111111111,South,2004,2004,,2006,2006,2010.0,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,1999,2002,4,35.83145658397095,,1.1409913581760298,36.82744412083712,,0.1429143097637326,31.327529008719058,27.85051663267528,0.6095742544746471,-0.02779645685159573,-1.374978778029516,-0.15349404228736901,14.703333333333333,0.36,23.161050470880323,0.0,4.2700000000000005,0.0,0.0,0.0,4.2700000000000005,-0.9959875368661741,0,-5.499915112118064,1,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,11.954641270414655
Chinaman_Reef_22_102,-22.01736111111111,South,2009,2009,,2012,2012,2016.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,2004,2006,3,38.37955175516171,,0.682306111298852,24.350881585429992,,,40.44939711117448,50.155431733526925,0.5391391054480528,0.3655245965149915,4.024628881436121,0.41945553789797396,0.01,0.06,42.08521630763657,42.338412,0.77,0.0,0.0,42.338412,0.77,14.028670169731715,1,16.098515525744485,1,1.1475439461452785,1.0,recovered,Storm-linked,21.631033898414216,High baseline HC,14.502736441605414
Chinaman_Reef_22_102,-22.01736111111111,South,2024,2024,,2025,2025,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Severe),,2019,2022,4,16.348677719139488,22.204692071494023,2.5438377670740913,18.457508644550444,27.03702687405986,2.43454928516078,,,,-0.12899091667469448,,,0.02,0.0,75.17378177501155,0.0,9.41,0.0,0.0,0.0,9.41,-2.108830925410956,0,,0,,,non_impact,Heat-linked,21.631033898414216,Low baseline HC,-7.528137594416805
Corbett_Reef,-13.99222222222222,North,2022,2022,2022.0,2025,2025,,0.0,0.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Sequential S->H (Same Year),Sequential S->H (Same Year),2019,2020,2,23.59737037804539,8.833335755866251,1.407846659032122,20.129937518667525,9.548226401457088,1.7466957105223244,,,,0.14694149406596205,,,0.0,0.0,71.08757621600978,19.857384,0.0,0.0,4.68,19.857384,4.68,3.4674328593778654,0,,0,,,non_impact,Storm-linked,21.631033898414216,High baseline HC,-0.2794449355109023
Corbett_Reef,-13.99222222222222,North,2024,2024,2025.0,2025,2025,,1.0,1.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Severe),2019,2022,4,24.66043514377331,10.193510199605651,1.2591030764164401,20.129937518667525,9.548226401457088,1.7466957105223244,,,,0.18371523449170452,,,0.0,0.0,62.46688911507815,0.0,7.51,0.0,9.88,0.0,17.39,4.5304976251057845,0,,0,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,0.7836198302170168
Davie_Reef,-13.976944444444444,North,1990,1990,,1990,1990,1995.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1985,1988,3,38.37267316808517,,,40.27704154500093,,,15.641202941386908,,,-0.0496282437393398,-4.927167720722804,-0.642015178241578,0.0,0.0,,33.078492,0.42,0.0,0.0,33.078492,0.42,-1.9043683769157553,0,-24.63583860361402,1,,,non_impact,Storm-linked,21.631033898414216,High baseline HC,14.495857854528879
Davie_Reef,-13.976944444444444,North,2020,2020,2021.0,2021,2021,2025.0,1.0,1.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Moderate),2015,2017,2,31.247838421986422,,,33.871462457876675,25.375233485439303,5.19910987444856,52.5193420037316,35.70681151986866,2.298665587390187,-0.08396177682627266,4.661969886463732,0.5967734245813948,0.006666666666666667,0.0,42.25694050023626,0.0,6.3,0.0,5.53,0.0,11.83,-2.623624035890252,0,18.647879545854927,1,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,7.37102310843013
Davie_Reef,-13.976944444444444,North,2022,2022,2022.0,2022,2022,2026.0,0.0,0.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Sequential S->H (Same Year),Sequential S->H (Same Year),2017,2020,3,35.37726319584153,17.886205451715963,5.012360132157146,37.53377031056192,29.80348653601179,6.964371204939672,33.32829709575095,,,-0.0609574319749494,-1.051368303702743,-0.11887502974807024,0.006666666666666667,0.0,45.34889756581542,19.857384,0.0,0.0,5.82,19.857384,5.82,-2.156507114720391,0,-4.205473214810972,1,,,non_impact,Storm-linked,21.631033898414216,High baseline HC,11.500447882285236
Davie_Reef,-13.976944444444444,North,2024,2024,2025.0,2026,2026,,1.0,1.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Severe),2019,2022,4,37.78506866853472,22.737782731220754,5.547050335925631,33.32829709575095,,,,,,0.11795060138385088,,,0.0,0.0,66.31710317802118,0.0,7.03,0.0,8.35,0.0,15.379999999999999,4.456771572783772,0,,0,,,non_impact,Heat-linked,21.631033898414216,High baseline HC,13.908253354978427
Davies_Reef,-18.81416666666667,Central,1989,1989,,1991,1991,1995.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1986,1987,2,23.140620735063663,,,16.462682166813238,,,34.71820647337865,,8.835413462034966,0.28858078807418186,4.563881076641353,0.7888951863293735,0.515,0.0,,41.000868,0.16,0.0,0.0,41.000868,0.16,6.6779385682504255,1,18.255524306565412,1,2.7337065353310424,1.0,recovered,Storm-linked,21.631033898414216,High baseline HC,-0.7361945784926291
