data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,shelf,mean,count_group,series,color
"manta","reef","John Brewer Reef",2013,"2013.41643835616438357","HC",15.027110048508273,13.355445117407916,17.10390255481286,"LTMP",9,"_"," ",15.100981573482732,"null","9.0m",""
"manta","reef","John Brewer Reef",2015,"2015.3424657534246575","HC",34.41216270156831,31.510830473567246,37.20932943707688,"LTMP",9,"_"," ",34.4661739939899,"null","9.0m",""
"manta","reef","John Brewer Reef",2016,"2016.38082191780821917","HC",42.43136343274638,39.48553896966491,45.33461598745477,"LTMP",9,"_"," ",42.465050716652556,"null","9.0m",""
"manta","reef","John Brewer Reef",2017,"2017.3315068493150685","HC",37.7854403862202,34.74693024313503,40.611979989542625,"LTMP",9,"_"," ",37.77128409943115,"null","9.0m",""
"manta","reef","John Brewer Reef",2019,"2019.17534246575342466","HC",17.36657743441231,15.438863514035065,19.366341909405765,"LTMP",9,"_"," ",17.435108130325474,"null","9.0m",""
"manta","reef","John Brewer Reef",2020,"2020.4328767123287671","HC",11.65839541056129,9.827170893198991,13.41517831793455,"LTMP",9,"_"," ",11.67922673929312,"null","9.0m",""
"manta","reef","John Brewer Reef",2021,"2021.23013698630136986","HC",21.901454507001265,19.538647552562235,24.171394575567863,"LTMP",9,"_"," ",21.905865999755044,"null","9.0m",""
"manta","reef","John Brewer Reef",2022,"2022.17534246575342466","HC",21.944975295481722,19.87793389245729,24.716693398302315,"LTMP",9,"_"," ",21.96182218087262,"null","9.0m",""
"manta","reef","John Brewer Reef",2023,"2023.2054794520547945","HC",23.405640327375433,21.116279151981534,25.892013616865256,"LTMP",9,"_"," ",23.4333441721083,"null","9.0m",""
"manta","reef","John Brewer Reef",2024,"2024.41643835616438357","HC",17.24071614481413,14.839728241792082,19.372696084406588,"LTMP",9,"_"," ",17.224694685880053,"null","9.0m",""
"manta","reef","John Brewer Reef",2025,"2025.3726027397260274","HC",17.257788562202837,15.322190963693034,19.462054962488494,"LTMP",9,"_"," ",17.250510948135922,"null","9.0m",""
