section,diagnostic,term,label,value,n_observations,n_reefs,note,full_value,subset_value
Ecological-sample representativeness,Baseline macroalgae available,cumulative_dhw_5yr,5-year cumulative DHW,0.059530662265305824,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,10.003161904761905,10.452101769911506
Ecological-sample representativeness,Baseline macroalgae available,cumulative_wind_5yr,5-year cumulative wind,0.006717196367500263,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,8.479800653016884,8.583692925748016
Ecological-sample representativeness,Baseline macroalgae available,event_year,Study event year,0.20163300218220967,452,89,Value is standardized mean difference; positive values indicate higher mean in the subset.,2014.7733333333333,2016.5530973451328
Ecological-sample representativeness,Baseline macroalgae available,event_type=Concurrent,Study event type: Concurrent,0.004993678887484199,452,89,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.09070796460176991
Ecological-sample representativeness,Baseline macroalgae available,event_type=Heatwave_Only,Study event type: Heatwave_Only,0.028436578171091464,452,89,Value is subset proportion minus full-sample proportion.,0.5733333333333334,0.6017699115044248
Ecological-sample representativeness,Baseline macroalgae available,event_type=Storm_Only,Study event type: Storm_Only,-0.03343025705857566,452,89,Value is subset proportion minus full-sample proportion.,0.34095238095238095,0.3075221238938053
Ecological-sample representativeness,Baseline macroalgae available,sector=Central,GBR sector: Central,-0.031120943952802405,452,89,Value is subset proportion minus full-sample proportion.,0.5333333333333333,0.5022123893805309
Ecological-sample representativeness,Baseline macroalgae available,sector=North,GBR sector: North,-0.003855878634639695,452,89,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.08185840707964602
Ecological-sample representativeness,Baseline macroalgae available,sector=North-Central,GBR sector: North-Central,0.010092709650231763,452,89,Value is subset proportion minus full-sample proportion.,0.0761904761904762,0.08628318584070796
Ecological-sample representativeness,Baseline macroalgae available,sector=South,GBR sector: South,0.024884112937210268,452,89,Value is subset proportion minus full-sample proportion.,0.3047619047619048,0.32964601769911506
Ecological-sample representativeness,Baseline herbivorous fish density available,sample_size,Sample size retained,0.8914285714285715,468,92,Value is retained fraction of full event-year matrix.,,
Ecological-sample representativeness,Baseline herbivorous fish density available,baseline_hc,Baseline hard-coral cover,0.020680649250918802,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,25.171889343538023,25.447336399214606
Ecological-sample representativeness,Baseline herbivorous fish density available,loss_abs,Absolute hard-coral cover loss,0.009966445696939061,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.372771266051399,4.489339207143123
Ecological-sample representativeness,Baseline herbivorous fish density available,recent_max_dhw,Event-year maximum DHW,0.09219351665427011,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.724914285714285,5.025705128205128
Ecological-sample representativeness,Baseline herbivorous fish density available,recent_max_wind,Event-year maximum wind speed,-0.05362718256758923,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,12.346564416928052,11.520216518894701
Ecological-sample representativeness,Baseline herbivorous fish density available,heatwave_years_5yr,5-year heatwave years,0.0810461230181476,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.979047619047619,1.0726495726495726
Ecological-sample representativeness,Baseline herbivorous fish density available,storm_years_5yr,5-year storm years,-0.036408165116425056,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.30095238095238097,0.28205128205128205
Ecological-sample representativeness,Baseline herbivorous fish density available,cumulative_dhw_5yr,5-year cumulative DHW,0.10796054374758482,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,10.003161904761905,10.822094017094019
Ecological-sample representativeness,Baseline herbivorous fish density available,cumulative_wind_5yr,5-year cumulative wind,-0.016980065238799216,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,8.479800653016884,8.216914646235264
Ecological-sample representativeness,Baseline herbivorous fish density available,event_year,Study event year,0.23268128963300072,468,92,Value is standardized mean difference; positive values indicate higher mean in the subset.,2014.7733333333333,2016.784188034188
Ecological-sample representativeness,Baseline herbivorous fish density available,event_type=Concurrent,Study event type: Concurrent,0.010439560439560444,468,92,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.09615384615384616
Ecological-sample representativeness,Baseline herbivorous fish density available,event_type=Heatwave_Only,Study event type: Heatwave_Only,0.03991452991452993,468,92,Value is subset proportion minus full-sample proportion.,0.5733333333333334,0.6132478632478633
Ecological-sample representativeness,Baseline herbivorous fish density available,event_type=Storm_Only,Study event type: Storm_Only,-0.05035409035409033,468,92,Value is subset proportion minus full-sample proportion.,0.34095238095238095,0.2905982905982906
Ecological-sample representativeness,Baseline herbivorous fish density available,sector=Central,GBR sector: Central,0.002991452991452981,468,92,Value is subset proportion minus full-sample proportion.,0.5333333333333333,0.5363247863247863
Ecological-sample representativeness,Baseline herbivorous fish density available,sector=North,GBR sector: North,-0.006654456654456659,468,92,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.07905982905982906
Ecological-sample representativeness,Baseline herbivorous fish density available,sector=North-Central,GBR sector: North-Central,0.007142857142857131,468,92,Value is subset proportion minus full-sample proportion.,0.0761904761904762,0.08333333333333333
Ecological-sample representativeness,Baseline herbivorous fish density available,sector=South,GBR sector: South,-0.003479853479853523,468,92,Value is subset proportion minus full-sample proportion.,0.3047619047619048,0.30128205128205127
Ecological-sample representativeness,All ecological covariates available,sample_size,Sample size retained,0.7314285714285714,384,87,Value is retained fraction of full event-year matrix.,,
Ecological-sample representativeness,All ecological covariates available,baseline_hc,Baseline hard-coral cover,-0.0670048421279127,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,25.171889343538023,24.28941331127339
Ecological-sample representativeness,All ecological covariates available,loss_abs,Absolute hard-coral cover loss,-0.022554270286659583,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.372771266051399,4.106556504772363
Ecological-sample representativeness,All ecological covariates available,recent_max_dhw,Event-year maximum DHW,0.20105456379770173,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,4.724914285714285,5.362838541666666
Ecological-sample representativeness,All ecological covariates available,recent_max_wind,Event-year maximum wind speed,-0.09274130943822037,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,12.346564416928052,10.900206053853045
Ecological-sample representativeness,All ecological covariates available,heatwave_years_5yr,5-year heatwave years,0.1586936609369456,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.979047619047619,1.1640625
Ecological-sample representativeness,All ecological covariates available,storm_years_5yr,5-year storm years,0.036481862165806796,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,0.30095238095238097,0.3203125
Ecological-sample representativeness,All ecological covariates available,cumulative_dhw_5yr,5-year cumulative DHW,0.17700712455660583,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,10.003161904761905,11.352109375000003
Ecological-sample representativeness,All ecological covariates available,cumulative_wind_5yr,5-year cumulative wind,0.05634383293954468,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,8.479800653016884,9.374724525841307
Ecological-sample representativeness,All ecological covariates available,event_year,Study event year,0.5008224917872205,384,87,Value is standardized mean difference; positive values indicate higher mean in the subset.,2014.7733333333333,2018.6927083333333
Ecological-sample representativeness,All ecological covariates available,event_type=Concurrent,Study event type: Concurrent,0.018452380952380956,384,87,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.10416666666666667
Ecological-sample representativeness,All ecological covariates available,event_type=Heatwave_Only,Study event type: Heatwave_Only,0.08031250000000001,384,87,Value is subset proportion minus full-sample proportion.,0.5733333333333334,0.6536458333333334
Ecological-sample representativeness,All ecological covariates available,event_type=Storm_Only,Study event type: Storm_Only,-0.09876488095238095,384,87,Value is subset proportion minus full-sample proportion.,0.34095238095238095,0.2421875
Ecological-sample representativeness,All ecological covariates available,sector=Central,GBR sector: Central,-0.06458333333333333,384,87,Value is subset proportion minus full-sample proportion.,0.5333333333333333,0.46875
Ecological-sample representativeness,All ecological covariates available,sector=North,GBR sector: North,0.010639880952380956,384,87,Value is subset proportion minus full-sample proportion.,0.08571428571428572,0.09635416666666667
Ecological-sample representativeness,All ecological covariates available,sector=North-Central,GBR sector: North-Central,0.02276785714285713,384,87,Value is subset proportion minus full-sample proportion.,0.0761904761904762,0.09895833333333333
Ecological-sample representativeness,All ecological covariates available,sector=South,GBR sector: South,0.03117559523809521,384,87,Value is subset proportion minus full-sample proportion.,0.3047619047619048,0.3359375
