scenario_group,scenario_name,metric_group,metric_name,seq_category,value,ci_lo,ci_hi
window,window_1_3,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",,-0.4992815229478251,-1.5330024437687588,0.5344393978731086
window,window_1_4,sample,retained_sequences,,118.0,,
window,window_1_4,sample,retained_reefs,,66.0,,
window,window_1_4,hierarchy,count,Isolated_Storm,42.0,,
window,window_1_4,hierarchy,mean_rel_loss,Isolated_Storm,0.11413404792011733,,
window,window_1_4,hierarchy,rank,Isolated_Storm,4.0,,
window,window_1_4,hierarchy,count,Isolated_Heatwave,13.0,,
window,window_1_4,hierarchy,mean_rel_loss,Isolated_Heatwave,-0.04923946421805777,,
window,window_1_4,hierarchy,rank,Isolated_Heatwave,5.0,,
window,window_1_4,hierarchy,count,Concurrent,,,
window,window_1_4,hierarchy,mean_rel_loss,Concurrent,,,
window,window_1_4,hierarchy,rank,Concurrent,,,
window,window_1_4,hierarchy,count,S_to_H,10.0,,
window,window_1_4,hierarchy,mean_rel_loss,S_to_H,0.4322444615911073,,
window,window_1_4,hierarchy,rank,S_to_H,1.0,,
window,window_1_4,hierarchy,count,S_to_S,19.0,,
window,window_1_4,hierarchy,mean_rel_loss,S_to_S,0.25020731794037393,,
window,window_1_4,hierarchy,rank,S_to_S,2.0,,
window,window_1_4,hierarchy,count,H_to_H,34.0,,
window,window_1_4,hierarchy,mean_rel_loss,H_to_H,0.18605116029059215,,
window,window_1_4,hierarchy,rank,H_to_H,3.0,,
window,window_1_4,hierarchy,count,H_to_S,,,
window,window_1_4,hierarchy,mean_rel_loss,H_to_S,,,
window,window_1_4,hierarchy,rank,H_to_S,,,
window,window_1_4,contrast,S_to_H_minus_Isolated_Heatwave,,0.48148392580916505,,
window,window_1_4,contrast,S_to_H_minus_H_to_H,,0.24619330130051514,,
window,window_1_4,model_status,model_ran,,1.0,,
window,window_1_4,sample,model_events,,118.0,,
window,window_1_4,sample,model_reefs,,66.0,,
window,window_1_4,model_status,reference_category,Isolated_Heatwave,,,
window,window_1_4,adjusted_mean,adjusted_mean,H_to_H,-0.005323548361289156,-0.47246611566834634,0.47973528378534785
window,window_1_4,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.4467325151734579,-0.03279565437541498,0.914947994485223
window,window_1_4,adjusted_mean,adjusted_mean,Isolated_Storm,0.32183053039254667,0.04157258423919401,0.6095631199540013
window,window_1_4,adjusted_mean,adjusted_mean,S_to_H,0.32787955278660136,0.12643193449661624,0.5195604696576295
window,window_1_4,adjusted_mean,adjusted_mean,S_to_S,-0.15087156699240026,-0.6602096390704234,0.3748239397024019
window,window_1_4,model_coef,storm_exposure_seq_c,,0.014061839472835751,0.002344354807828273,0.02577932413784323
window,window_1_4,model_coef,heat_exposure_seq_c,,0.06613713042088677,0.023031375371040913,0.10924288547073263
window,window_1_4,model_coef,baseline_hc_c,,0.021230536799785805,0.014660703335059047,0.027800370264512562
