table,model,model_family,variable,category,metric,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,r_squared,q_all,q_within_variable
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Gorgonian-like,cat_soft_coral_gorgonian_like_baseline,loss_abs,cat_soft_coral_gorgonian_like_baseline_z,Baseline category cover,0.28375113073249125,0.5404375254686483,0.5888953347671806,-0.7453076792121599,1.3128099406771425,160,36,0.40392607071644704,0.8864445365817407,0.873887353169773
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Pocilloporidae,cat_hard_coral_pocilloporidae_baseline,loss_abs,cat_hard_coral_pocilloporidae_baseline_z,Baseline category cover,-0.30916581664767057,-0.43334412061656635,0.6647647895912072,-1.7074860823482665,1.0891544490529255,387,80,0.4465448779256721,0.8864445365817407,0.7977177475094486
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Unidentified,cat_soft_coral_unidentified_baseline,loss_abs,cat_soft_coral_unidentified_baseline_z,Baseline category cover,-0.17755145866996022,-0.39087190188904525,0.6958919240828464,-1.0678545546813418,0.7127516373414213,441,86,0.398713017150214,0.8864445365817407,0.873887353169773
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Unidentified Macroalgae,cat_macroalgae_unidentified_macroalgae_baseline,loss_abs,cat_macroalgae_unidentified_macroalgae_baseline_z,Baseline category cover,0.311831878277966,0.3887679731133679,0.697447794498011,-1.2602607140253266,1.8839244705812588,466,92,0.39802225167163396,0.8864445365817407,0.8834794063133715
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Sclerophytum,cat_soft_coral_sclerophytum_baseline,loss_abs,cat_soft_coral_sclerophytum_baseline_z,Baseline category cover,-0.20096929972579833,-0.34430289101295425,0.7306185103439047,-1.344998582494673,0.9430599830430764,452,86,0.40260691868733933,0.8864445365817407,0.873887353169773
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Red Macroalgae,cat_algae_red_macroalgae_baseline,loss_abs,cat_algae_red_macroalgae_baseline_z,Baseline category cover,0.16239020772007012,0.3242436101900179,0.7457536078178277,-0.8192142050447435,1.1439946204848839,459,91,0.402419968069502,0.8864445365817407,0.8725737259073312
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Other,cat_algae_other_baseline,loss_abs,cat_algae_other_baseline_z,Baseline category cover,-0.12497757177846515,-0.24140482011214867,0.8092413773009917,-1.139669571081813,0.8897144275248827,403,76,0.3969404121060487,0.8864445365817407,0.8725737259073312
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Briareum,cat_soft_coral_briareum_baseline,loss_abs,cat_soft_coral_briareum_baseline_z,Baseline category cover,-0.18200073451686935,-0.18320396202168007,0.8546379857386425,-2.1290922759688318,1.765090806935093,193,37,0.31619665752011306,0.8864445365817407,0.873887353169773
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Unidentified Macroalgae,cat_algae_unidentified_macroalgae_baseline,loss_abs,cat_algae_unidentified_macroalgae_baseline_z,Baseline category cover,0.15416863191352925,0.16039017847248893,0.8725737259073312,-1.7297682086964388,2.0381054725234975,417,82,0.3944753002029814,0.8864445365817407,0.8725737259073312
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Nephtheidae,cat_soft_coral_nephtheidae_baseline,loss_abs,cat_soft_coral_nephtheidae_baseline_z,Baseline category cover,0.06755563312511449,0.1587226996348405,0.873887353169773,-0.7666451975225611,0.9017564637727901,377,77,0.4439660737361616,0.8864445365817407,0.873887353169773
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Lobophora,cat_macroalgae_lobophora_baseline,loss_abs,cat_macroalgae_lobophora_baseline_z,Baseline category cover,0.09051083721712358,0.1583193303701624,0.8742051768030473,-1.0299965622353628,1.2110182366696098,388,71,0.39752790591496534,0.8864445365817407,0.8834794063133715
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Red Macroalgae,cat_macroalgae_red_macroalgae_baseline,loss_abs,cat_macroalgae_red_macroalgae_baseline_z,Baseline category cover,0.07094825323225393,0.14655990083754472,0.8834794063133715,-0.8778516593398944,1.0197481658044023,466,92,0.39744361130940553,0.8864445365817407,0.8834794063133715
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Montipora,cat_hard_coral_montipora_baseline,loss_abs,cat_hard_coral_montipora_baseline_z,Baseline category cover,0.16250998303068453,0.14280455880379075,0.8864445365817407,-2.0679070046089434,2.3929269706703122,354,74,0.420324153679259,0.8864445365817407,0.8864445365817407
