reef_name,year,storm_name,storm_id,storm_date,pre_storm_sst,post_storm_min_sst,sst_cooling,dhw_at_storm,max_dhw_year,is_antagonistic,is_effective_cooling,match_method,matched_track_points
Havannah_Island,2020,HAROLD,AU201920_12U,2020-04-01,27.65,27.66,-0.01,8.18,8.18,False,False,storm_id,41
Havannah_Island,2024,KIRRILY,AU202324_05U,2024-01-25,29.75,29.28,0.47,1.54,6.92,False,False,storm_id,79
Hayman_Island,2017,DEBBIE,AU201617_24U,2017-03-28,29.0,27.29,1.71,6.31,6.31,False,True,storm_id,37
Hayman_Island,2020,HAROLD,AU201920_12U,2020-04-01,27.7,27.55,0.14,7.66,7.66,False,False,storm_id,41
Helix_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.86,27.78,0.08,5.4,5.4,False,False,storm_id,41
Helix_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.52,28.54,0.98,2.86,6.11,False,False,storm_id,79
Hyde_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.65,27.43,0.22,5.84,5.84,False,False,storm_id,41
John_Brewer_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.77,27.66,0.11,4.21,4.21,False,False,storm_id,41
John_Brewer_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.48,28.58,0.91,2.56,5.79,False,False,storm_id,79
Kelso_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.82,27.66,0.15,5.4,5.4,False,False,storm_id,41
Kelso_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.59,28.52,1.07,2.9,6.72,False,True,storm_id,79
Knife_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.96,27.86,0.1,6.35,6.35,False,False,storm_id,41
Knife_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.64,29.02,0.62,3.48,6.54,False,False,storm_id,79
Lynchs_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.91,27.83,0.08,5.62,5.62,False,False,storm_id,41
Myrmidon_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.99,27.88,0.11,8.3,8.3,False,False,storm_id,41
Myrmidon_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.68,28.93,0.75,4.05,8.73,True,False,storm_id,79
Pandora_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.74,27.75,-0.02,8.97,8.97,False,False,storm_id,41
Pandora_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.91,29.51,0.4,1.6,6.58,False,False,storm_id,79
Rebe_Reef,2017,DEBBIE,AU201617_24U,2017-03-27,28.91,26.57,2.34,5.55,5.55,False,True,storm_id,37
Rebe_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.71,27.5,0.21,7.1,7.1,False,False,storm_id,41
Reef_13_124,2022,TIFFANY,AU202122_10U,2022-01-10,29.66,29.28,0.38,3.36,5.55,False,False,storm_id,40
Reef_19_138,2020,HAROLD,AU201920_12U,2020-04-01,27.74,27.59,0.15,4.11,4.11,False,False,storm_id,41
Reef_20_104,2020,HAROLD,AU201920_12U,2020-04-01,27.73,27.59,0.14,4.91,4.91,False,False,storm_id,41
Rib_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.73,27.63,0.1,5.11,5.11,False,False,storm_id,41
Rib_Reef,2024,KIRRILY,AU202324_05U,2024-01-25,29.54,28.65,0.9,2.3,6.7,False,False,storm_id,79
Roxburgh_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.87,27.72,0.15,6.52,6.52,False,False,storm_id,41
Sand_bank_No_1,2022,TIFFANY,AU202122_10U,2022-01-09,29.5,29.1,0.4,2.21,6.39,False,False,storm_id,40
Slate_Reef,2020,HAROLD,AU201920_12U,2020-04-01,27.7,27.47,0.23,5.73,5.73,False,False,storm_id,41
St_Crispin_Reef,2024,JASPER,AU202324_02U,2023-12-13,28.07,27.98,0.09,0.0,5.87,False,False,storm_id,60
Yonge_Reef,1990,IVOR,AU198990_10U,1990-03-19,17.01,15.79,1.22,5.72,7.27,True,True,storm_id,44
Double_Cone_Island,2017,DEBBIE,AU201617_24U,2017-03-28,29.04,27.51,1.53,8.1,8.1,False,True,storm_id,37
Double_Cone_Island,2020,HAROLD,AU201920_12U,2020-04-01,27.63,27.47,0.16,8.72,8.72,False,False,storm_id,41
Geoffrey_Bay,2020,HAROLD,AU201920_12U,2020-04-01,27.38,27.49,-0.11,9.75,9.75,False,False,storm_id,41
Geoffrey_Bay,2024,KIRRILY,AU202324_05U,2024-01-25,29.93,29.25,0.68,3.48,9.07,False,False,storm_id,79
Hook_Island,2017,DEBBIE,AU201617_24U,2017-03-28,29.03,27.42,1.61,6.17,6.17,False,True,storm_id,37
Hook_Island,2020,HAROLD,AU201920_12U,2020-04-01,27.62,27.5,0.12,7.17,7.17,False,False,storm_id,41
Seaforth_Island,2017,DEBBIE,AU201617_24U,2017-03-28,28.96,27.35,1.61,5.98,5.98,False,True,storm_id,37
Seaforth_Island,2020,HAROLD,AU201920_12U,2020-04-01,27.26,27.28,-0.02,8.16,8.16,False,False,storm_id,41
Snapper_Island,2024,JASPER,AU202324_02U,2023-12-13,28.5,28.49,0.01,0.0,6.93,False,False,storm_id,60
