data_type,domain_category,domain_name,report_year,date,variable,median,lower,upper,project_code,depth,reef_zone,reefpage_category,shelf,mean,count_group,series,source_file
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,ALGAE,0.0683589081845007,0.0043443071768862,0.2220003194013153,LTMP,9,_,Red Macroalgae, ,0.0888338875213784,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,ALGAE,0.9276702336684672,0.6030163861330582,1.2854207512198872,LTMP,9,_,Unidentified Macroalgae, ,0.9426948080798024,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,ALGAE,0.0,0.0,0.0,LTMP,9,_,Green Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,ALGAE,0.0,0.0,0.0,LTMP,9,_,Other Brown Macroalgae, ,0.0,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,HARD CORAL,11.609313803104172,9.828989628789593,13.683482470908508,LTMP,9,_,Acropora, ,11.63971179782016,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,HARD CORAL,5.037882671751734,3.981596199400763,6.391577828581176,LTMP,9,_,Pocilloporidae, ,5.066244945742607,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,HARD CORAL,3.55676141584102,2.575294699136666,4.753789652999889,LTMP,9,_,Isopora, ,3.5917668212482114,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,HARD CORAL,1.6072720855143778,0.9522116504375092,2.313629918113401,LTMP,9,_,Merulinidae, ,1.6396497638493712,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,HARD CORAL,1.4361286344383275,0.8965690407467992,2.1049345022022874,LTMP,9,_,Other, ,1.4775718043573354,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
photo-transect,reef,Agincourt Reef No.1,1996,1996.0273972602736,HARD CORAL,1.6298098369995926,1.0120460373684257,2.4424802875084617,LTMP,9,_,Porites, ,1.6735733548051137,,9.0m,Agincourt Reef No.1_Benthic_composition_modelled_2026-06-18.csv
