reef_name,year,max_dhw,dhw_peak_date,min_dist,max_wind_ms,storm_name,storm_peak_date,has_storm,has_heatwave
Arlington_Reef,1999,1.04,1999.043805612594,44.196225589101665,19.857384,RONA,1999.1149897330595,1,0
Arlington_Reef,2000,0.0,1999.498288843258,,0.0,,,0,0
Arlington_Reef,2001,1.56,2001.2327173169062,,0.0,,,0,0
Arlington_Reef,2002,2.48,2002.0958247775495,,0.0,,,0,0
Arlington_Reef,2003,0.0,2002.498288843258,,0.0,,,0,0
Arlington_Reef,2004,1.9,2004.1615331964408,,0.0,,,0,0
Arlington_Reef,2005,0.8,2005.0985626283368,,0.0,,,0,0
Arlington_Reef,2006,0.61,2006.1177275838468,88.12801576987441,23.929370015874483,LARRY,2006.2135523613963,1,0
Arlington_Reef,2007,0.0,2006.498288843258,,0.0,,,0,0
Arlington_Reef,2008,0.44,2008.084873374401,,0.0,,,0,0
Arlington_Reef,2009,3.0700000000000003,2009.1478439425052,,0.0,,,0,0
Arlington_Reef,2010,1.45,2010.1889117043122,28.793612380386513,18.519840000000002,OLGA,2010.065708418891,1,0
Arlington_Reef,2011,1.56,2011.0328542094455,,0.0,,,0,0
Arlington_Reef,2012,0.3,2012.1177275838468,,0.0,,,0,0
Arlington_Reef,2013,1.97,2013.1642710472279,,0.0,,,0,0
Arlington_Reef,2014,0.0,2013.498288843258,,0.0,,,0,0
Arlington_Reef,2015,2.61,2015.1806981519508,,0.0,,,0,0
Arlington_Reef,2016,4.58,2016.2327173169062,,0.0,,,0,1
Arlington_Reef,2017,10.87,2017.2518822724162,,0.0,,,0,1
Arlington_Reef,2018,0.16,2018.0930869267625,,0.0,,,0,0
Arlington_Reef,2019,0.65,2019.1478439425052,,0.0,,,0,0
Arlington_Reef,2020,7.5,2020.1998631074607,,0.0,,,0,1
Arlington_Reef,2021,1.07,2021.123203285421,,0.0,,,0,0
Arlington_Reef,2022,4.86,2022.1998631074607,,0.0,,,0,1
Arlington_Reef,2023,0.96,2023.290212183436,,0.0,,,0,0
Arlington_Reef,2024,7.99,2024.2053388090349,,0.0,,,0,1
Arlington_Reef,2025,7.31,2025.1943874058863,,0.0,,,0,1
Green_Island,1985,0.0,,,0.0,,,0,0
Green_Island,1986,0.0,,93.13197240787855,19.78307543524911,WINIFRED,1986.0876112251883,1,0
Green_Island,1987,0.0,,,0.0,,,0,0
Green_Island,1988,0.0,,,0.0,,,0,0
Green_Island,1989,1.21,1989.1314168377824,,0.0,,,0,0
Green_Island,1990,0.0,1989.498288843258,55.34558959676552,19.651709634568242,FELICITY,1989.9582477754961,1,0
Green_Island,1991,0.0,1990.498288843258,,0.0,,,0,0
Green_Island,1992,0.17,1992.208076659822,,0.0,,,0,0
Green_Island,1993,0.0,1992.501026694045,,0.0,,,0,0
Green_Island,1994,2.26,1994.1998631074607,,0.0,,,0,0
Green_Island,1995,2.12,1995.1533196440794,,0.0,,,0,0
Green_Island,1996,1.63,1996.0985626283368,,0.0,,,0,0
Green_Island,1997,0.0,1996.501026694045,,0.0,,,0,0
Green_Island,1998,0.95,1998.1122518822724,,0.0,,,0,0
Green_Island,1999,1.26,1999.0465434633813,,0.0,,,0,0
Green_Island,2000,0.0,1999.498288843258,,0.0,,,0,0
Green_Island,2001,1.24,2001.2327173169062,,0.0,,,0,0
Green_Island,2002,2.01,2002.0958247775495,,0.0,,,0,0
Green_Island,2003,0.0,2002.498288843258,,0.0,,,0,0
Green_Island,2004,1.03,2004.1615331964408,,0.0,,,0,0
Green_Island,2005,0.5,2005.0985626283368,,0.0,,,0,0
Green_Island,2006,0.98,2006.1177275838468,73.54528069001012,26.91502165445073,LARRY,2006.2135523613963,1,0
Green_Island,2007,0.43,2007.0876112251883,,0.0,,,0,0
Green_Island,2008,0.15,2008.0793976728269,,0.0,,,0,0
Green_Island,2009,2.17,2009.1478439425052,,0.0,,,0,0
Green_Island,2010,1.4,2010.1889117043122,38.86414738648978,18.519840000000002,OLGA,2010.065708418891,1,0
Green_Island,2011,1.05,2011.0328542094455,,0.0,,,0,0
Green_Island,2012,0.29,2012.0903490759754,,0.0,,,0,0
Green_Island,2013,2.02,2013.1642710472279,,0.0,,,0,0
Green_Island,2014,0.0,2013.498288843258,,0.0,,,0,0
Green_Island,2015,1.88,2015.1779603011637,90.22252175518246,26.087139456572835,MARCIA,2015.1368925393565,1,0
Green_Island,2016,3.67,2016.1697467488023,,0.0,,,0,0
Green_Island,2017,11.08,2017.2491444216291,,0.0,,,0,1
Green_Island,2018,0.15,2018.0930869267625,,0.0,,,0,0
Green_Island,2019,0.61,2019.1478439425052,,0.0,,,0,0
Green_Island,2020,5.42,2020.1889117043122,,0.0,,,0,1
Green_Island,2021,0.31,2020.9856262833675,,0.0,,,0,0
Green_Island,2022,4.23,2022.1998631074607,,0.0,,,0,1
Green_Island,2023,0.94,2023.2874743326488,,0.0,,,0,0
Green_Island,2024,8.15,2024.145106091718,,0.0,,,0,1
Green_Island,2025,7.31,2025.1943874058863,,0.0,,,0,1
Border_Island,1985,0.0,,48.9509728974338,17.53397977252478,PIERRE,1985.1423682409309,1,0
Border_Island,1986,0.0,,,0.0,,,0,0
Border_Island,1987,0.0,,,0.0,,,0,0
Border_Island,1988,0.0,,,0.0,,,0,0
Border_Island,1989,0.0,,,0.0,,,0,0
Border_Island,1990,0.0,,,0.0,,,0,0
Border_Island,1991,0.0,1990.8350444900752,,0.0,,,0,0
Border_Island,1992,0.0,1991.498288843258,,0.0,,,0,0
Border_Island,1993,0.0,1992.501026694045,,0.0,,,0,0
Border_Island,1994,1.25,1994.0492813141684,,0.0,,,0,0
Border_Island,1995,0.0,1994.498288843258,,0.0,,,0,0
Border_Island,1996,1.02,1996.1642710472279,,0.0,,,0,0
Border_Island,1997,0.0,1996.501026694045,,0.0,,,0,0
Border_Island,1998,0.29,1998.0930869267625,,0.0,,,0,0
Border_Island,1999,0.0,1998.498288843258,,0.0,,,0,0
Border_Island,2000,0.0,1999.498288843258,,0.0,,,0,0
Border_Island,2001,0.0,2000.501026694045,,0.0,,,0,0
Border_Island,2002,1.24,2002.1642710472279,,0.0,,,0,0
Border_Island,2003,0.0,2002.498288843258,,0.0,,,0,0
Border_Island,2004,3.16,2004.1642710472279,,0.0,,,0,0
Border_Island,2005,0.0,2004.501026694045,,0.0,,,0,0
