reef_name,year,storm_track_id,storm_id,storm_name,storm_track_key_type,max_wind_ms,min_dist_km,buff_limit_km,rmax_default_km,decay_exponent,physical_threshold_ms
Davies_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,38.377224,25.607385157406167,100,45.0,0.8,17.5
Davies_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,15.29766237232333,100,45.0,0.8,17.5
Davies_Reef,2026,AU202526_12U,AU202526_12U,KOJI,DISTURBANCE_ID,19.857384,16.419651694250188,100,45.0,0.8,17.5
Dip_Reef,1988,AU198788_04U,AU198788_04U,CHARLIE,DISTURBANCE_ID,17.68956560193944,60.720628996447225,100,45.0,0.8,17.5
Dip_Reef,1989,AU198889_09U,AU198889_09U,AIVU,DISTURBANCE_ID,25.885733648610522,79.96100238028252,100,45.0,0.8,17.5
Dip_Reef,2000,AU199900_09U,AU199900_09U,TESSI,DISTURBANCE_ID,22.481028000000002,36.218188315343426,100,45.0,0.8,17.5
Dip_Reef,2006,AU200506_15U,AU200506_15U,LARRY,DISTURBANCE_ID,19.76089897048784,94.42860181367053,100,45.0,0.8,17.5
Dip_Reef,2020,AU201920_12U,AU201920_12U,HAROLD,DISTURBANCE_ID,26.731665125388968,70.71669332629676,100,45.0,0.8,17.5
Dip_Reef,2024,AU202324_05U,AU202324_05U,KIRRILY,DISTURBANCE_ID,23.818572,34.46457464949948,100,45.0,0.8,17.5
Dip_Reef,2026,AU202526_12U,AU202526_12U,KOJI,DISTURBANCE_ID,19.857384,44.441175246507186,100,45.0,0.8,17.5
East_Cay,1984,AU198384_22U,AU198384_22U,LANCE,DISTURBANCE_ID,18.519840000000002,34.29976237233228,100,45.0,0.8,17.5
East_Cay,1992,AU199192_08U,AU199192_08U,FRAN,DISTURBANCE_ID,22.481028000000002,28.72359157540289,100,45.0,0.8,17.5
East_Cay,1994,AU199394_02U,AU199394_02U,REWA,DISTURBANCE_ID,29.117304,39.7524845510402,100,45.0,0.8,17.5
East_Cay,2009,AU200809_17U,AU200809_17U,HAMISH,DISTURBANCE_ID,39.670604367543284,48.81403392937161,100,45.0,0.8,17.5
Erskine_Island,1980,AU197980_12U,AU197980_12U,SIMON,DISTURBANCE_ID,27.233569861716017,57.380446677793294,100,45.0,0.8,17.5
Erskine_Island,1992,AU199192_08U,AU199192_08U,FRAN,DISTURBANCE_ID,18.519840000000002,40.892379806710096,100,45.0,0.8,17.5
Erskine_Island,2015,AU201415_14U,AU201415_14U,MARCIA,DISTURBANCE_ID,20.929748756149078,91.85261552793612,100,45.0,0.8,17.5
Fairfax_Island,1980,AU197980_12U,AU197980_12U,SIMON,DISTURBANCE_ID,25.12011748267886,60.28514336096229,100,45.0,0.8,17.5
Fairfax_Island,1994,AU199394_02U,AU199394_02U,REWA,DISTURBANCE_ID,29.117304,43.56444748066098,100,45.0,0.8,17.5
Farquharson_Reef,1986,AU198586_06U,AU198586_06U,WINIFRED,DISTURBANCE_ID,31.740948000000003,32.28228727835862,100,45.0,0.8,17.5
Farquharson_Reef,2006,AU200506_15U,AU200506_15U,LARRY,DISTURBANCE_ID,37.039680000000004,44.21004059332077,100,45.0,0.8,17.5
Farquharson_Reef,2011,AU201011_14U,AU201011_14U,YASI,DISTURBANCE_ID,41.000868000000004,44.21004059332077,100,45.0,0.8,17.5
Feather_Reef,1986,AU198586_06U,AU198586_06U,WINIFRED,DISTURBANCE_ID,31.740948000000003,0.24655296874140212,100,45.0,0.8,17.5
Feather_Reef,1990,AU198990_02U,AU198990_02U,FELICITY,DISTURBANCE_ID,22.481028000000002,35.92321127467846,100,45.0,0.8,17.5
Feather_Reef,2006,AU200506_15U,AU200506_15U,LARRY,DISTURBANCE_ID,37.039680000000004,43.332816192875896,100,45.0,0.8,17.5
Feather_Reef,2011,AU201011_14U,AU201011_14U,YASI,DISTURBANCE_ID,41.000868000000004,43.332816192875896,100,45.0,0.8,17.5
Fitzroy_Island,1986,AU198586_06U,AU198586_06U,WINIFRED,DISTURBANCE_ID,21.35602906071024,62.51331024447556,100,45.0,0.8,17.5
Fitzroy_Island,1990,AU198990_02U,AU198990_02U,FELICITY,DISTURBANCE_ID,22.481028000000002,36.55709681220217,100,45.0,0.8,17.5
Fitzroy_Island,2006,AU200506_15U,AU200506_15U,LARRY,DISTURBANCE_ID,30.836411515436172,56.58701110294953,100,45.0,0.8,17.5
Fitzroy_Island,2010,AU200910_07U,AU200910_07U,OLGA,DISTURBANCE_ID,18.519840000000002,32.59884276826166,100,45.0,0.8,17.5
