reef_name,coords,coords_normalized,lat,lon,duplicate_name_count,site_selection
Slate_Reef,"19¡ã40'04.38""S 149¡ã55'35.14""E","19°40'04.38""S 149°55'35.14""E",-19.667883333333336,149.92642777777777,1,kept_unique
Small_Lagoon_Reef,"21¡ã52'17""S 152¡ã30'58""E","21°52'17""S 152°30'58""E",-21.87138888888889,152.51611111111112,1,kept_unique
Snake_Reef,"22¡ã01'55""S 152¡ã09'04""E","22°01'55""S 152°09'04""E",-22.031944444444445,152.1511111111111,1,kept_unique
St_Crispin_Reef,"16¡ã06'12.47""S 145¡ã50'39.96""E","16°06'12.47""S 145°50'39.96""E",-16.10346388888889,145.84443333333334,1,kept_unique
Taylor_Reef,"17¡ã49'26""S 146¡ã34¡ä14""E","17°49'26""S 146°34'14""E",-17.823888888888888,146.57055555555556,1,kept_unique
Tern_Island,"20¡ã54¡ä37""S 150¡ã01'58""E","20°54'37""S 150°01'58""E",-20.910277777777775,150.0327777777778,1,kept_unique
Thetford_Reef,"16¡ã48¡ä22""S 146¡ã11'47""E","16°48'22""S 146°11'47""E",-16.80611111111111,146.1963888888889,1,kept_unique
Turner_Cay,"21¡ã43'05.35""S 152¡ã33'31.46""E","21°43'05.35""S 152°33'31.46""E",-21.718152777777775,152.5587388888889,1,kept_unique
Wade_Reef,"21¡ã59¡ä16.03""S 152¡ã38'49.57""E","21°59'16.03""S 152°38'49.57""E",-21.987786111111113,152.64710277777777,1,kept_unique
Wreck_Island,"23¡ã19'57.30""S 151¡ã57'30.30""E","23°19'57.30""S 151°57'30.30""E",-23.332583333333332,151.95841666666666,1,kept_unique
Yonge_Reef,"14¡ã35¡ä42.95""S 145¡ã37'15.30""E","14°35'42.95""S 145°37'15.30""E",-14.595263888888889,145.6209166666667,1,kept_unique
Double_Cone_Island,"20¡ã06'16.17""S 148¡ã43'07.40""E","20°06'16.17""S 148°43'07.40""E",-20.104491666666668,148.71872222222223,1,kept_unique
Dunk_Island,"17¡ã57'05.79""S 146¡ã08'22.30""E","17°57'05.79""S 146°08'22.30""E",-17.951608333333333,146.13952777777777,1,kept_unique
Geoffrey_Bay,"19¡ã09'12.88""S 146¡ã51'45.08""E","19°09'12.88""S 146°51'45.08""E",-19.153577777777777,146.86252222222222,1,kept_unique
High_Island,"17¡ã09'34.97""S 146¡ã00'25.83""E","17°09'34.97""S 146°00'25.83""E",-17.159713888888888,146.007175,1,kept_unique
Hook_Island,"20¡ã10'02.85""S 148¡ã55'22.80""E","20°10'02.85""S 148°55'22.80""E",-20.167458333333336,148.923,1,kept_unique
Humpy_Island_and_Halfway_Island,"23¡ã12'54.26""S 150¡ã57'52.31""E","23°12'54.26""S 150°57'52.31""E",-23.215072222222222,150.96453055555554,1,kept_unique
Pelican_Island,"23¡ã14'24.56""S 150¡ã52'29.65""E","23°14'24.56""S 150°52'29.65""E",-23.240155555555557,150.87490277777778,1,kept_unique
Seaforth_Island,"20¡ã28'27.04""S 149¡ã02'08.56""E","20°28'27.04""S 149°02'08.56""E",-20.474177777777776,149.0357111111111,1,kept_unique
Snapper_Island,"16¡ã17'41.03""S 145¡ã29'51.24""E","16°17'41.03""S 145°29'51.24""E",-16.294730555555557,145.49756666666664,1,kept_unique
