analysis,category,term,beta,ci_low,ci_high,p,n,reefs,area,status,q
six_management_baseline_gt10,Porites,heatwave_years_5yr_z,0.8177606592879773,-0.09712476983919016,1.7326460884151447,0.07979219696074455,82,30,Fitzroy,fit,0.23937659088223365
six_management_baseline_gt10,Acropora,heatwave_years_5yr_z,-0.5365891591407146,-2.105459590523138,1.032281272241709,0.5026334277421252,88,32,Fitzroy,fit,0.7963342509671402
six_management_baseline_gt10,Merulinidae,heatwave_years_5yr_z,0.11037113429962603,-0.6822354132579622,0.9029776818572142,0.7849096017909298,88,32,Fitzroy,fit,0.7963342509671402
six_management_baseline_gt10,Other,heatwave_years_5yr_z,0.0568621833734059,-0.37494858841558387,0.48867295516239573,0.7963342509671402,88,32,Fitzroy,fit,0.7963342509671402
six_management_baseline_gt10,Pocilloporidae,heatwave_years_5yr_z,0.2591407752342557,-0.5763116715737291,1.0945932220422405,0.5432259780525517,83,30,Fitzroy,fit,0.7963342509671402
six_management_baseline_gt10,Acropora,heatwave_years_5yr_z,2.4924986189242673,-0.09957230449840937,5.084569542346944,0.05947392469909277,70,10,Mackay Whitsunday,fit,0.3568435481945566
six_management_baseline_gt10,Merulinidae,heatwave_years_5yr_z,-1.1289340805553498,-2.647423025345751,0.3895548642350517,0.1450742569517732,70,10,Mackay Whitsunday,fit,0.41327376097705715
six_management_baseline_gt10,Pocilloporidae,heatwave_years_5yr_z,-0.3218777377779766,-0.82143044876158,0.1776749732056268,0.20663688048852857,54,8,Mackay Whitsunday,fit,0.41327376097705715
six_management_baseline_gt10,Montipora,heatwave_years_5yr_z,-0.6049407717864159,-1.8224010109429343,0.6125194673701024,0.33011533077607524,59,8,Mackay Whitsunday,fit,0.49517299616411287
six_management_baseline_gt10,Other,heatwave_years_5yr_z,-0.1331295453400609,-0.6156413076213488,0.34938221694122695,0.5886643680909871,70,10,Mackay Whitsunday,fit,0.7063972417091845
six_management_baseline_gt10,Porites,heatwave_years_5yr_z,-0.0018506091898914945,-0.41556278736156615,0.41186156898178317,0.9930048183251787,54,8,Mackay Whitsunday,fit,0.9930048183251787
six_management_baseline_gt10,Acropora,heatwave_years_5yr_z,-0.242902191502424,-1.945787841468597,1.4599834584637488,0.7798057112243966,87,16,Wet Tropics,fit,0.7798057112243966
six_management_baseline_gt10,Merulinidae,heatwave_years_5yr_z,-0.17297412388330807,-0.9602524937504178,0.6143042459838017,0.6667398548003991,87,16,Wet Tropics,fit,0.7798057112243966
six_management_baseline_gt10,Montipora,heatwave_years_5yr_z,-0.2012184120438697,-0.5307023859235813,0.12826556183584198,0.2313201309635754,56,10,Wet Tropics,fit,0.7798057112243966
six_management_baseline_gt10,Other,heatwave_years_5yr_z,0.31773077383460535,-0.3407625986988324,0.9762241463680431,0.344298762697577,87,16,Wet Tropics,fit,0.7798057112243966
six_management_baseline_gt10,Pocilloporidae,heatwave_years_5yr_z,0.4663888695515718,-1.296759464422773,2.2295372035259167,0.6041438885524941,73,14,Wet Tropics,fit,0.7798057112243966
six_management_baseline_gt10,Porites,heatwave_years_5yr_z,-0.381147020048024,-1.8463536996703638,1.0840596595743157,0.6101571240881485,87,16,Wet Tropics,fit,0.7798057112243966
